application_id,age,gender,visa_type,documents_submitted,visa_granted,rejection_reason
AUS100072,42,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100073,50,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Failed health requirements
AUS100074,31,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Invalid or expired passport
AUS100075,56,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance",No,Inconsistent information
AUS100076,29,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100077,18,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,No strong home-country ties
AUS100078,18,Female,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Academic documents incomplete
AUS100079,27,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100080,33,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Unclear travel purpose
AUS100081,52,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100082,32,Female,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Academic documents incomplete
AUS100083,49,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100084,52,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100085,36,Male,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Work Experience Letters",No,IELTS requirement not met
AUS100086,23,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100087,20,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100088,37,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100089,54,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100090,43,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100091,52,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,Failed health requirements
AUS100092,38,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Unclear travel purpose
AUS100093,23,Female,Work Visa,"Passport, Bank Statement, Police Clearance, Work Experience Letters",No,Employer not verified
AUS100094,26,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100095,48,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100096,56,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100097,21,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100098,45,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Academic documents incomplete
AUS100099,18,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100100,26,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100101,51,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100102,22,Other,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,Suspicious travel history
AUS100103,54,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Employer not verified
AUS100104,57,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Missing documents
AUS100105,26,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100106,44,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100107,32,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100108,46,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100109,19,Male,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,IELTS requirement not met
AUS100110,51,Other,Visit Visa,"Bank Statement, Itinerary, Invitation Letter",No,Invalid or expired passport
AUS100111,22,Other,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Academic documents incomplete
AUS100112,23,Male,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,Invalid or expired passport
AUS100113,31,Female,Student Visa,"Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Employer not verified
AUS100114,39,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100115,40,Male,Visit Visa,"Passport, Travel Insurance, Invitation Letter",No,IELTS requirement not met
AUS100116,25,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100117,30,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Unclear travel purpose
AUS100118,31,Other,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Insufficient funds
AUS100119,40,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100120,24,Other,Visit Visa,"Passport, Bank Statement, Invitation Letter",No,Academic documents incomplete
AUS100121,32,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,IELTS requirement not met
AUS100122,24,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100123,39,Male,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Inconsistent information
AUS100124,24,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100125,38,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100126,21,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100127,45,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Inconsistent information
AUS100128,43,Female,Visit Visa,"Passport, Travel Insurance, Invitation Letter",No,Employer not verified
AUS100129,58,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Birth Certificate",No,Suspicious travel history
AUS100130,37,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance",No,Unclear travel purpose
AUS100131,37,Other,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Academic documents incomplete
AUS100132,50,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100133,43,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100134,52,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100135,54,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100136,47,Female,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Academic documents incomplete
AUS100137,38,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100138,48,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100139,23,Male,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Unclear travel purpose
AUS100140,56,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100141,37,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Suspicious travel history
AUS100142,58,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100143,59,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,IELTS requirement not met
AUS100144,37,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100145,58,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Inconsistent information
AUS100146,29,Female,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Inconsistent information
AUS100147,40,Other,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Inconsistent information
AUS100148,50,Other,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Inconsistent information
AUS100149,18,Other,Visit Visa,"Passport, Bank Statement, Invitation Letter",No,Missing documents
AUS100150,56,Female,Visit Visa,"Passport, Itinerary, Invitation Letter",No,Academic documents incomplete
AUS100151,19,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100152,21,Other,Student Visa,"Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Missing documents
AUS100153,32,Other,Work Visa,"Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Inconsistent information
AUS100154,57,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100155,35,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100156,38,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100157,34,Female,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency",No,IELTS requirement not met
AUS100158,26,Female,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Suspicious travel history
AUS100159,23,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,No strong home-country ties
AUS100160,30,Female,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,IELTS requirement not met
AUS100161,47,Female,Work Visa,"Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Insufficient funds
AUS100162,50,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100163,41,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100164,27,Female,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Incorrect application form
AUS100165,22,Female,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Unclear travel purpose
AUS100166,28,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100167,20,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100168,35,Male,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency",No,Insufficient funds
AUS100169,46,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100170,35,Female,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,Failed health requirements
AUS100171,51,Other,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Insufficient funds
AUS100172,24,Other,Visit Visa,"Passport, Travel Insurance, Itinerary",No,Failed health requirements
AUS100173,31,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100174,36,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,No strong home-country ties
AUS100175,36,Other,Visit Visa,"Bank Statement, Itinerary, Invitation Letter",No,Incorrect application form
AUS100176,58,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,IELTS requirement not met
AUS100177,35,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,Missing documents
AUS100178,55,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100179,35,Male,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Insufficient funds
AUS100180,23,Male,Student Visa,"Passport, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Suspicious travel history
AUS100181,34,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Employer not verified
AUS100182,30,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100183,54,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,Incorrect application form
AUS100184,54,Female,Visit Visa,"Passport, Travel Insurance, Itinerary",No,Invalid or expired passport
AUS100185,36,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100186,23,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100187,55,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100188,27,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,No strong home-country ties
AUS100189,21,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100190,45,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100191,31,Female,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Suspicious travel history
AUS100192,37,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,IELTS requirement not met
AUS100193,49,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100194,37,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100195,57,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100196,37,Other,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,IELTS requirement not met
AUS100197,23,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100198,23,Male,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Missing documents
AUS100199,55,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,IELTS requirement not met
AUS100200,34,Other,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,Insufficient funds
AUS100201,51,Female,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Suspicious travel history
AUS100202,32,Other,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Academic documents incomplete
AUS100203,49,Female,Visit Visa,"Bank Statement, Travel Insurance, Itinerary",No,Employer not verified
AUS100204,30,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Employer not verified
AUS100205,47,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Failed health requirements
AUS100206,22,Male,Visit Visa,"Passport, Bank Statement, Itinerary",No,Suspicious travel history
AUS100207,51,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,No strong home-country ties
AUS100208,27,Male,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Academic documents incomplete
AUS100209,58,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100210,40,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Failed health requirements
AUS100211,56,Other,Visit Visa,"Bank Statement, Travel Insurance, Invitation Letter",No,Unclear travel purpose
AUS100212,19,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100213,19,Male,Visit Visa,"Travel Insurance, Itinerary, Invitation Letter",No,Inconsistent information
AUS100214,34,Male,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,Employer not verified
AUS100215,30,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100216,48,Male,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Unclear travel purpose
AUS100217,22,Male,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Invalid or expired passport
AUS100218,37,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100219,25,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100220,53,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100221,29,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Employer not verified
AUS100222,22,Female,Visit Visa,"Passport, Bank Statement, Invitation Letter",No,Failed health requirements
AUS100223,52,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100224,32,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100225,54,Male,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Employer not verified
AUS100226,22,Other,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Suspicious travel history
AUS100227,38,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,No strong home-country ties
